Date/Time,DOE [day],Meso label,Temp descr,Treat pCO2 [µatm],Temp [°C],Sal,pCO2 [µatm],[NO3]- + [NO2]- [µmol/l],[NH4]+ [µmol/l],TDN [µmol/l],Si(OH)4 [µmol/l],O2 [µmol/l],POC/PON [mol/mol],POC/POP,PON/POP
2014-09-24T00:00:00,22,M2,warm,1500,18.5,19.0,1360.0,0.67,0.21,0.88,14.73,0.16,6.63,58.09,7.51
2014-09-25T00:00:00,23,M2,warm,1500,18.5,19.0,,,,,,,,,
2014-09-26T00:00:00,24,M2,warm,1500,18.6,19.1,1135.0,0.7,0.34,1.04,12.17,0.14,,,
2014-08-29T00:00:00,-4,M3,warm,2000,17.0,18.7,974.0,1.24,0.33,1.57,12.64,0.82,12.18,22.46,1.58
2014-08-31T00:00:00,-2,M3,warm,2000,16.1,18.8,,,,,,,,,
2014-09-01T00:00:00,-1,M3,warm,2000,16.0,18.8,331.0,0.99,0.93,1.92,12.46,0.63,9.22,136.09,12.66
2014-09-02T00:00:00,0,M3,warm,2000,16.2,18.8,,,,,,,,,
2014-09-03T00:00:00,1,M3,warm,2000,17.7,18.9,503.0,0.52,0.47,0.99,9.45,0.49,7.79,99.45,10.95
2014-09-04T00:00:00,2,M3,warm,2000,18.2,18.9,514.4,,,,,,,,
2014-09-05T00:00:00,3,M3,warm,2000,18.5,18.9,4710.0,0.86,0.39,1.25,8.84,0.5,6.18,86.01,11.92
2014-09-06T00:00:00,4,M3,warm,2000,18.7,18.9,,,,,,,,,
2014-09-07T00:00:00,5,M3,warm,2000,18.7,18.9,,,,,,,,,
2014-09-08T00:00:00,6,M3,warm,2000,18.8,18.9,2754.0,0.56,0.31,0.87,9.11,0.49,7.6,22.57,2.97
2014-09-09T00:00:00,7,M3,warm,2000,18.8,19.0,,,,,,,,,
2014-09-10T00:00:00,8,M3,warm,2000,18.6,19.0,2455.0,0.47,0.38,0.85,6.7,0.98,8.37,18.8,2.25
2014-09-11T00:00:00,9,M3,warm,2000,18.6,19.0,,,,,,,,,
2014-09-12T00:00:00,10,M3,warm,2000,18.8,18.9,1583.0,0.76,0.47,1.23,10.17,0.44,7.03,19.6,2.39
2014-09-13T00:00:00,11,M3,warm,2000,18.8,19.0,,,,,,,,,
2014-09-14T00:00:00,12,M3,warm,2000,18.9,19.0,,,,,,,,,
2014-09-15T00:00:00,13,M3,warm,2000,19.1,19.0,1418.0,0.9,0.37,1.27,13.85,0.39,6.56,20.68,2.7
2014-09-16T00:00:00,14,M3,warm,2000,18.9,19.0,,,,,,,,,
2014-09-17T00:00:00,15,M3,warm,2000,19.0,19.0,1290.0,0.45,0.29,0.74,8.29,0.4,6.73,14.2,1.81
2014-09-18T00:00:00,16,M3,warm,2000,18.8,19.0,,,,,,,,,
2014-09-19T00:00:00,17,M3,warm,2000,18.8,19.0,1853.0,0.45,0.31,0.76,9.21,0.37,6.12,13.31,1.87
2014-09-20T00:00:00,18,M3,warm,2000,18.8,19.0,,,,,,,,,
2014-09-21T00:00:00,19,M3,warm,2000,18.8,18.9,,,,,,,,,
2014-09-22T00:00:00,20,M3,warm,2000,18.6,19.0,1494.0,0.65,0.45,1.1,12.0,0.3,5.9,15.08,2.19
2014-09-23T00:00:00,21,M3,warm,2000,18.5,19.0,,,,,,,,,
2014-09-24T00:00:00,22,M3,warm,2000,18.6,19.0,1723.0,0.7,0.29,0.99,13.56,0.26,5.8,16.92,2.5
2014-09-25T00:00:00,23,M3,warm,2000,18.5,18.9,,,,,,,,,
2014-09-26T00:00:00,24,M3,warm,2000,18.4,19.1,1545.0,0.72,0.33,1.05,11.27,0.22,,,
2014-08-29T00:00:00,-4,M4,warm,500,16.7,18.8,983.0,0.84,0.45,1.29,12.67,0.85,10.29,21.24,1.77
2014-08-31T00:00:00,-2,M4,warm,500,15.8,18.9,,,,,,,,,
2014-09-01T00:00:00,-1,M4,warm,500,15.7,18.8,302.0,0.56,0.76,1.32,12.05,0.6,7.8,70.58,7.76
2014-09-02T00:00:00,0,M4,warm,500,16.1,18.9,,,,,,,,,
2014-09-03T00:00:00,1,M4,warm,500,17.8,19.1,323.0,0.44,0.5,0.94,9.18,0.48,8.19,96.72,10.12
2014-09-04T00:00:00,2,M4,warm,500,18.4,19.0,329.4,,,,,,,,
2014-09-05T00:00:00,3,M4,warm,500,18.6,19.0,800.0,4.39,0.38,4.77,11.83,0.47,6.0,66.46,9.5
2014-09-06T00:00:00,4,M4,warm,500,18.8,18.9,,,,,,,,,
2014-09-07T00:00:00,5,M4,warm,500,18.8,19.0,,,,,,,,,
2014-09-08T00:00:00,6,M4,warm,500,18.8,19.0,755.0,0.71,0.37,1.08,12.11,0.45,7.7,61.13,7.94
2014-09-09T00:00:00,7,M4,warm,500,18.8,19.1,,,,,,,,,
2014-09-10T00:00:00,8,M4,warm,500,18.5,19.1,680.0,0.39,0.47,0.86,7.19,1.29,9.07,77.59,8.55
2014-09-11T00:00:00,9,M4,warm,500,18.5,19.1,,,,,,,,,
2014-09-12T00:00:00,10,M4,warm,500,18.7,19.1,729.0,0.72,0.37,1.09,11.75,0.37,7.17,67.86,8.11
2014-09-13T00:00:00,11,M4,warm,500,18.8,19.0,,,,,,,,,
2014-09-14T00:00:00,12,M4,warm,500,18.8,19.0,,,,,,,,,
2014-09-15T00:00:00,13,M4,warm,500,18.9,19.0,473.0,0.77,0.52,1.29,13.56,0.32,6.64,31.54,4.08
2014-09-16T00:00:00,14,M4,warm,500,18.8,19.0,,,,,,,,,
2014-09-17T00:00:00,15,M4,warm,500,18.8,19.1,415.0,0.55,0.29,0.84,8.99,0.34,6.27,30.49,4.17
2014-09-18T00:00:00,16,M4,warm,500,18.7,19.1,,,,,,,,,
2014-09-19T00:00:00,17,M4,warm,500,18.8,19.0,543.0,0.39,0.31,0.7,10.32,0.33,7.08,22.61,2.74
2014-09-20T00:00:00,18,M4,warm,500,18.7,19.0,,,,,,,,,
2014-09-21T00:00:00,19,M4,warm,500,18.7,19.0,,,,,,,,,
2014-09-22T00:00:00,20,M4,warm,500,18.6,19.1,445.0,0.45,0.46,0.91,11.34,0.25,6.59,23.14,3.01
2014-09-23T00:00:00,21,M4,warm,500,18.5,19.1,,,,,,,,,
2014-09-24T00:00:00,22,M4,warm,500,18.6,19.1,458.0,0.34,0.21,0.55,11.12,0.18,6.97,27.51,3.38
2014-09-25T00:00:00,23,M4,warm,500,18.6,19.1,,,,,,,,,
2014-09-26T00:00:00,24,M4,warm,500,18.6,19.1,440.0,0.57,0.33,0.9,10.69,0.11,,,
2014-08-29T00:00:00,-4,M5,warm,1000,17.1,18.7,990.0,1.18,0.4,1.58,13.19,0.83,10.16,21.74,1.84
2014-08-31T00:00:00,-2,M5,warm,1000,16.2,18.8,,,,,,,,,
2014-09-01T00:00:00,-1,M5,warm,1000,16.1,18.9,339.0,0.64,1.42,2.06,12.93,4.72,6.53,50.64,6.65
2014-09-02T00:00:00,0,M5,warm,1000,16.4,18.8,,,,,,,,,
2014-09-03T00:00:00,1,M5,warm,1000,17.9,19.0,415.0,0.46,0.42,0.88,9.64,0.5,6.92,68.52,8.5
2014-09-04T00:00:00,2,M5,warm,1000,18.4,18.9,422.6,,,,,,,,
2014-09-05T00:00:00,3,M5,warm,1000,18.7,18.9,2380.0,1.71,0.36,2.07,9.84,0.49,7.02,69.66,8.5
2014-09-06T00:00:00,4,M5,warm,1000,19.0,18.9,,,,,,,,,
2014-09-07T00:00:00,5,M5,warm,1000,19.1,18.8,,,,,,,,,
2014-09-08T00:00:00,6,M5,warm,1000,19.1,18.9,1979.0,1.24,0.36,1.6,13.75,0.43,7.87,58.45,7.42
2014-09-09T00:00:00,7,M5,warm,1000,19.1,18.9,,,,,,,,,
2014-09-10T00:00:00,8,M5,warm,1000,18.9,18.9,984.0,0.45,0.4,0.85,5.45,0.49,7.36,61.34,8.34
2014-09-11T00:00:00,9,M5,warm,1000,18.9,18.9,,,,,,,,,
2014-09-12T00:00:00,10,M5,warm,1000,19.1,19.0,895.0,0.36,0.41,0.77,6.54,0.38,7.27,61.12,7.21
2014-09-13T00:00:00,11,M5,warm,1000,19.0,19.0,,,,,,,,,
2014-09-14T00:00:00,12,M5,warm,1000,19.0,18.8,,,,,,,,,
2014-09-15T00:00:00,13,M5,warm,1000,19.1,18.8,796.0,1.05,0.53,1.58,14.26,0.3,6.57,33.19,4.33
2014-09-16T00:00:00,14,M5,warm,1000,19.0,18.8,,,,,,,,,
2014-09-17T00:00:00,15,M5,warm,1000,19.1,18.9,794.0,0.6,0.42,1.02,7.16,0.31,6.33,20.83,2.82
2014-09-18T00:00:00,16,M5,warm,1000,19.0,18.9,,,,,,,,,
